,localizacao,title,url,valor
54,Bocaiúva -  MG,iPhone X 256 gs 3.000mil para vender rapido,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/celulares/iphone-x-256-gs-3-000mil-para-vender-rapido-804064763,R$ 3.000
55,Belém -  PA,IPhone 8 64 GB Dourado,https://pa.olx.com.br/regiao-de-belem/celulares/iphone-8-64-gb-dourado-804064722,R$ 2.300
56,São Paulo -  SP,Moto g8 plus cereja 4gb 64gb aceito cartão até 18x com juros no Itaim Paulista,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/moto-g8-plus-cereja-4gb-64gb-aceito-cartao-ate-18x-com-juros-no-itaim-paulista-804064641,R$ 1.000
57,Teresina -  PI,Iphone 6,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/celulares/iphone-6-804064620,R$ 850
58,Paulista -  PE,IPhone SE 16GB,https://pe.olx.com.br/grande-recife/celulares/iphone-se-16gb-804064604,R$ 700
59,Santos -  SP, Moto one 64gb leia a descrição,https://sp.olx.com.br/baixada-santista-e-litoral-sul/celulares/moto-one-64gb-leia-a-descricao-804064599,R$ 850
60,Belo Horizonte -  MG,Iphone xr 128 gb novo lacrado,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/iphone-xr-128-gb-novo-lacrado-804064582,R$ 3.950
61,Santa Luzia -  MG,MOTO G4 PLAY PERFEITO,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/moto-g4-play-perfeito-804064583,R$ 250
62,Parnamirim -  RN,IPhone 8 64gb,https://rn.olx.com.br/rio-grande-do-norte/celulares/iphone-8-64gb-804064589,R$ 2.300
63,Salvador -  BA,Iphone 7 pluss 128gb (aceito cartão),https://ba.olx.com.br/grande-salvador/celulares/iphone-7-pluss-128gb-aceito-cartao-804064565,R$ 1.900
64,Brasília -  DF,Vendo Iphone 6s 16GB Rosê,https://df.olx.com.br/distrito-federal-e-regiao/celulares/vendo-iphone-6s-16gb-rose-804064559,R$ 800
65,Paulista -  PE,iPhone 8 plus ,https://pe.olx.com.br/grande-recife/celulares/iphone-8-plus-804064536,R$ 2.700
66,Belém -  PA,IPhone 7 red 128 gigas,https://pa.olx.com.br/regiao-de-belem/celulares/iphone-7-red-128-gigas-804064477,R$ 2.100
67,Recife -  PE,iPhone 4s,https://pe.olx.com.br/grande-recife/celulares/iphone-4s-804064426,R$ 250
68,Salvador -  BA,IPhone 6s,https://ba.olx.com.br/grande-salvador/celulares/iphone-6s-804065032,R$ 780
69,Rio de Janeiro -  RJ,Película De Vidro 9d iPhone 11 / Pro Max / Xr,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/pelicula-de-vidro-9d-iphone-11-pro-max-xr-804064372,R$ 16
70,Manaus -  AM,iPhone 6 ,https://am.olx.com.br/regiao-de-manaus/celulares/iphone-6-804064355,R$ 700
71,Fortaleza -  CE,2 Iphones 6S 32gb ,https://ce.olx.com.br/fortaleza-e-regiao/celulares/2-iphones-6s-32gb-804064318,R$ 0
72,Salvador -  BA,"Celular A30s novinho , pouco tempo de uso",https://ba.olx.com.br/grande-salvador/celulares/celular-a30s-novinho-pouco-tempo-de-uso-804064268,R$ 1.000
73,Porto Alegre -  RS,IPHONE XR 64g,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/celulares/iphone-xr-64g-804064265,R$ 3.000
74,Rio de Janeiro -  RJ,Apple IPhone 7 32gb (Vendo ou Troco),https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/apple-iphone-7-32gb-vendo-ou-troco-804064266,R$ 1.000
75,Porto Alegre -  RS,iPhone 8 ,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/celulares/iphone-8-804064261,R$ 2.500
76,Campo Grande -  MS,Iphone 5 para retirada de peça.,https://ms.olx.com.br/mato-grosso-do-sul/celulares/iphone-5-para-retirada-de-peca-804064228,R$ 100
77,Anápolis -  GO,iPhone 7 preto fosco ,https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-7-preto-fosco-804064231,R$ 1.350
78,Cuiabá -  MT,IPhone 6s,https://mt.olx.com.br/regiao-de-cuiaba/celulares/iphone-6s-804064122,R$ 650
79,Aracaju -  SE,IPhone 7 ,https://se.olx.com.br/sergipe/celulares/iphone-7-804064123,R$ 1.300
80,São José dos Pinhais -  PR,iPhone 7,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/celulares/iphone-7-804064010,R$ 1.200
81,Salvador -  BA,Iphone 5,https://ba.olx.com.br/grande-salvador/celulares/iphone-5-804063999,R$ 200
82,Campina Grande -  PB,IPhone 8 Plus 64 GB,https://pb.olx.com.br/paraiba/celulares/iphone-8-plus-64-gb-804063964,R$ 2.800
83,Belo Horizonte -  MG,"Adaptador para fone de ouvido para iphone 7, 8 e x",https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/adaptador-para-fone-de-ouvido-para-iphone-7-8-e-x-804063941,R$ 29
84,São Paulo -  SP,Capinha GOCASE - Iphone 11,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/capinha-gocase-iphone-11-804063937,R$ 100
85,Barra Mansa -  RJ,Iphone 8 plus 64gb ,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/celulares/iphone-8-plus-64gb-804063863,R$ 1.800
86,Teresina -  PI,Apple Watch Serie 3 38mm,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/celulares/apple-watch-serie-3-38mm-804063852,R$ 1.250
87,Curitiba -  PR,Iphone 7Plus 32 Gb Rose,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/celulares/iphone-7plus-32-gb-rose-804063859,R$ 1.550
88,Ibirité -  MG,J7 prime,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/j7-prime-804063843,R$ 850
89,Rio de Janeiro -  RJ,Vendo Iphone 8 64G na Garantia apple,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-iphone-8-64g-na-garantia-apple-804063827,R$ 1.890
90,Brasília -  DF,iPhone 6 Plus ,https://df.olx.com.br/distrito-federal-e-regiao/celulares/iphone-6-plus-804063815,R$ 1.300
91,Goiânia -  GO,iPhone 7 ,https://go.olx.com.br/grande-goiania-e-anapolis/computadores-e-acessorios/iphone-7-804063800,R$ 1.300
92,Serra -  ES,Bateria iPhone 5s,https://es.olx.com.br/norte-do-espirito-santo/celulares/bateria-iphone-5s-804063783,R$ 100
93,São Paulo -  SP,iPhone 6 Plus 16gb gold ,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphone-6-plus-16gb-gold-804063766,R$ 1.000
94,Belém -  PA,iPhone 8 Plus ,https://pa.olx.com.br/regiao-de-belem/celulares/iphone-8-plus-804063715,R$ 2.600
95,Brasília -  DF,iPhone 8 Plus ,https://df.olx.com.br/distrito-federal-e-regiao/celulares/iphone-8-plus-804063681,R$ 2.700
96,Teresina -  PI,IPhone 7 Rose 32GB completo,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/celulares/iphone-7-rose-32gb-completo-804063653,R$ 1.250
97,Campina Grande -  PB,IPhone 8 Plus - 64GB,https://pb.olx.com.br/paraiba/celulares/iphone-8-plus-64gb-804063650,R$ 2.900
98,Ribeirão das Neves -  MG,Troco redimi not 9 128 gigas um mês de uso ,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/troco-redimi-not-9-128-gigas-um-mes-de-uso-804063642,R$ 1.650
99,Petrolina -  PE,iPhone 6s ,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/celulares/iphone-6s-804063573,R$ 1.000
100,Teresina -  PI,iPhone XS Max 64 Gb,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/celulares/iphone-xs-max-64-gb-804037150,R$ 4.500
101,Guarapari -  ES,Vendo iPhone 11,https://es.olx.com.br/norte-do-espirito-santo/celulares/vendo-iphone-11-804063535,R$ 4.000
102,Salvador -  BA,Iphone 8 plus,https://ba.olx.com.br/grande-salvador/celulares/iphone-8-plus-804063487,R$ 2.650
103,Manaus -  AM,iPhone 6s 64 gb pegado tudo ,https://am.olx.com.br/regiao-de-manaus/celulares/iphone-6s-64-gb-pegado-tudo-804063481,R$ 1.000
104,João Pessoa -  PB,Iphone 6  16gb ,https://pb.olx.com.br/paraiba/celulares/iphone-6-16gb-804063463,R$ 720
105,Marília -  SP,iPhone 6s Plus ,https://sp.olx.com.br/regiao-de-bauru-e-marilia/celulares/iphone-6s-plus-804063439,R$ 1.299
106,Contagem -  MG,Apple iPhone 7,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/apple-iphone-7-804063384,R$ 1.500
107,São José -  SC,IPhone 7 black 256 gb,https://sc.olx.com.br/florianopolis-e-regiao/celulares/iphone-7-black-256-gb-804063353,R$ 1.799
108,Campo Largo -  PR,IPhone 11 128gb,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/celulares/iphone-11-128gb-804063335,R$ 4.250
109,Belo Horizonte -  MG,IPhone X ,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/iphone-x-804063243,R$ 3.500
110,Brasília -  DF,Relógio Samsung Galaxy Watch BT 44mm,https://df.olx.com.br/distrito-federal-e-regiao/celulares/relogio-samsung-galaxy-watch-bt-44mm-804063238,R$ 900
111,Manaus -  AM,IPhone XR 64 Gb + fone via bluetooth,https://am.olx.com.br/regiao-de-manaus/celulares/iphone-xr-64-gb-fone-via-bluetooth-794517301,R$ 3.200
